index,cluster
214_M2,3
215_M2,3
216_M2,3
217_M2,3
218_M2,3
219_M2,3
220_M2,3
221_M2,3
222_M2,3
223_M2,3
224_M2,3
225_M2,3
226_M2,3
227_M2,3
228_M2,3
229_M2,3
230_M2,3
231_M2,3
232_M2,3
233_M2,3
234_M2,3
235_M2,3
236_M2,3
237_M2,3
238_M2,3
239_M2,3
240_M2,3
241_M2,3
242_M2,3
243_M2,3
244_M2,3
245_M2,3
246_M2,3
247_M2,3
248_M2,3
249_M2,3
0_CD4_NAIVE,9
1_CD4_NAIVE,9
2_CD4_NAIVE,9
3_CD4_NAIVE,9
4_CD4_NAIVE,9
5_CD4_NAIVE,9
6_CD4_NAIVE,9
7_CD4_NAIVE,9
8_CD4_NAIVE,9
9_CD4_NAIVE,9
10_CD4_NAIVE,9
11_CD4_NAIVE,9
12_CD4_NAIVE,9
13_CD4_NAIVE,9
14_CD4_NAIVE,9
15_CD4_NAIVE,9
16_CD4_NAIVE,9
17_CD4_NAIVE,9
18_CD4_NAIVE,9
19_CD4_NAIVE,9
20_CD4_NAIVE,9
21_CD4_NAIVE,9
22_CD4_NAIVE,9
23_CD4_NAIVE,9
24_CD4_NAIVE,9
25_CD4_NAIVE,9
26_CD4_NAIVE,9
27_CD4_NAIVE,9
28_CD4_NAIVE,9
29_CD4_NAIVE,9
30_CD4_NAIVE,9
31_CD4_NAIVE,9
32_CD4_NAIVE,9
33_CD4_NAIVE,9
34_CD4_NAIVE,9
35_CD4_NAIVE,9
36_CD4_NAIVE,9
37_CD4_NAIVE,9
38_CD4_NAIVE,9
39_CD4_NAIVE,9
40_CD4_NAIVE,9
41_CD4_NAIVE,9
42_CD4_NAIVE,9
43_CD4_NAIVE,9
44_CD4_NAIVE,9
45_CD4_NAIVE,9
46_CD4_NAIVE,9
47_CD4_NAIVE,9
48_CD4_NAIVE,9
49_CD4_NAIVE,9
50_CD4_NAIVE,9
51_CD4_NAIVE,9
52_CD4_NAIVE,9
53_CD4_NAIVE,9
54_CD4_NAIVE,9
55_CD4_NAIVE,9
56_CD4_NAIVE,9
57_CD4_NAIVE,9
58_CD4_NAIVE,9
59_CD4_NAIVE,9
60_CD4_NAIVE,9
61_CD4_NAIVE,9
62_CD4_NAIVE,9
63_CD4_NAIVE,9
64_CD4_NAIVE,9
65_CD4_NAIVE,9
66_CD4_NAIVE,9
67_CD4_NAIVE,9
68_CD4_NAIVE,9
69_CD4_NAIVE,9
70_CD4_NAIVE,9
71_CD4_NAIVE,9
72_CD4_NAIVE,9
73_CD4_NAIVE,9
74_CD4_NAIVE,9
75_CD4_NAIVE,9
76_CD4_NAIVE,9
77_CD4_NAIVE,9
78_CD4_NAIVE,9
79_CD4_NAIVE,9
80_CD4_NAIVE,9
81_CD4_NAIVE,9
82_CD4_NAIVE,9
83_CD4_NAIVE,9
84_CD4_NAIVE,9
85_CD4_NAIVE,9
86_CD4_NAIVE,9
87_CD4_NAIVE,9
88_CD4_NAIVE,9
89_CD4_NAIVE,9
90_CD4_NAIVE,9
91_CD4_NAIVE,9
92_CD4_NAIVE,9
93_CD4_NAIVE,9
94_CD4_NAIVE,9
95_CD4_NAIVE,9
96_CD4_NAIVE,9
97_CD4_NAIVE,9
98_CD4_NAIVE,9
99_CD4_NAIVE,9
100_CD4_NAIVE,9
101_CD4_NAIVE,9
102_CD4_NAIVE,9
103_CD4_NAIVE,9
104_CD4_NAIVE,9
105_CD4_NAIVE,9
106_CD4_NAIVE,9
107_CD4_NAIVE,9
108_CD4_NAIVE,9
109_CD4_NAIVE,9
110_CD4_NAIVE,9
111_CD4_NAIVE,9
112_CD4_NAIVE,9
113_CD4_NAIVE,9
114_CD4_NAIVE,9
115_CD4_NAIVE,9
116_CD4_NAIVE,9
117_CD4_NAIVE,9
118_CD4_NAIVE,9
119_CD4_NAIVE,9
120_CD4_NAIVE,9
121_CD4_NAIVE,9
122_CD4_NAIVE,9
123_CD4_NAIVE,9
124_CD4_NAIVE,9
125_CD4_NAIVE,9
126_CD4_NAIVE,9
127_CD4_NAIVE,9
128_CD4_NAIVE,9
129_CD4_NAIVE,9
130_CD4_NAIVE,9
131_CD4_NAIVE,9
132_CD4_NAIVE,9
133_CD4_NAIVE,9
134_CD4_NAIVE,9
135_CD4_NAIVE,9
136_CD4_NAIVE,9
137_CD4_NAIVE,9
138_CD4_NAIVE,9
139_CD4_NAIVE,9
140_CD4_NAIVE,9
141_CD4_NAIVE,9
142_CD4_NAIVE,9
143_CD4_NAIVE,9
144_CD4_NAIVE,9
145_CD4_NAIVE,9
146_CD4_NAIVE,9
147_CD4_NAIVE,9
148_CD4_NAIVE,9
149_CD4_NAIVE,9
150_CD4_NAIVE,9
151_CD4_NAIVE,9
152_CD4_NAIVE,9
153_CD4_NAIVE,9
154_CD4_NAIVE,9
155_CD4_NAIVE,9
156_CD4_NAIVE,9
157_CD4_NAIVE,9
